epoch,generation,walltime_sec,pure_train_chi2,test_chi2,blip_train_chi2,test1_frac,test2_frac,test3_frac,test4_frac,test5_frac,test6_frac,test7_frac,test8_frac,train1_frac,train2_frac,train3_frac,s1_blip_match_frac,s2_blip_match_frac,s3_blip_match_frac,other_frac,other_chi2,other_n_classes,l1_loss,l2_loss,regularization_loss,v,seed,zero_init,l1_scale,l2_scale,blip_freq,num_epoch,schedule_mode,replicate_uid
0,0,9.945723295211792,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05431200000000002,1876,0.0,0.0,0.0,16,20,False,0.995,0.005,0.66,100,none,da799990-4749-4110-97d2-3476016fccb4
1,100,9.958141803741455,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05431200000000002,1876,1.7040121537041606e-05,4.4724838895720803e-10,3.7301675816523097e-06,16,20,False,0.995,0.005,0.66,100,none,da799990-4749-4110-97d2-3476016fccb4
2,200,9.967849016189575,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05355799999999998,1878,2.0899997997681214e-05,6.900667803896081e-10,4.575140674380692e-06,16,20,False,0.995,0.005,0.66,100,none,da799990-4749-4110-97d2-3476016fccb4
3,300,9.977495908737183,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05355799999999998,1878,2.3103405063855808e-05,8.400921090209245e-10,5.057494985978751e-06,16,20,False,0.995,0.005,0.66,100,none,da799990-4749-4110-97d2-3476016fccb4
4,400,9.98706340789795,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.053557999999999974,1878,2.8717526935471046e-05,1.2968628368827974e-09,6.28651305011362e-06,16,20,False,0.995,0.005,0.66,100,none,da799990-4749-4110-97d2-3476016fccb4
5,500,9.996636867523193,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.053935500000000025,1877,3.4422241046490585e-05,1.8139892804726123e-09,7.535373223040079e-06,16,20,False,0.995,0.005,0.66,100,none,da799990-4749-4110-97d2-3476016fccb4
6,600,10.006294250488281,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.053179500000000005,1879,3.6611473569789346e-05,2.092158405577247e-09,8.01464907452395e-06,16,20,False,0.995,0.005,0.66,100,none,da799990-4749-4110-97d2-3476016fccb4
7,700,10.015969038009644,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.053557999999999974,1878,4.0348118389398966e-05,2.5009132775051248e-09,8.83267828896216e-06,16,20,False,0.995,0.005,0.66,100,none,da799990-4749-4110-97d2-3476016fccb4
8,800,10.025659799575806,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.053557999999999974,1878,4.166806222100831e-05,2.675485576600416e-09,9.121647162438272e-06,16,20,False,0.995,0.005,0.66,100,none,da799990-4749-4110-97d2-3476016fccb4
9,900,10.036018371582031,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.053557999999999974,1878,4.4285208854267736e-05,3.0779611337459083e-09,9.694617030814618e-06,16,20,False,0.995,0.005,0.66,100,none,da799990-4749-4110-97d2-3476016fccb4
